,dynamic prices,tariff,Abrechnung_Stufen,Abrechnung_Dynamic
2023-06-10 22:00:00,26.058322500000006,26.52,0.04959239999997299,0.048729063074973475
2023-06-10 23:00:00,25.461061500000003,26.52,0.061791600000046305,0.059324273295044465
2023-06-11 00:00:00,24.623896500000004,26.52,0.04747079999978196,0.044076774734797555
2023-06-11 01:00:00,23.975406000000003,26.52,0.05648760000017173,0.051067614780155264
2023-06-11 02:00:00,23.6068035,26.52,0.04428839999985721,0.0394233618448729
2023-06-11 03:00:00,23.855454000000005,26.52,0.005569200000169803,0.005009645340152745
2023-06-11 04:00:00,23.5068435,26.52,0.0,0.0
2023-06-11 05:00:00,23.61180150000001,26.52,0.0,0.0
2023-06-11 06:00:00,23.205714,26.52,0.0,0.0
2023-06-11 07:00:00,20.921628,18.88,0.0,0.0
2023-06-11 08:00:00,19.354755,18.88,0.0,0.0
2023-06-11 09:00:00,17.369299499999997,18.88,0.0,0.0
2023-06-11 10:00:00,17.178126000000002,18.88,0.0,0.0
2023-06-11 11:00:00,15.150009,18.88,0.0,0.0
2023-06-11 12:00:00,13.4124305,18.88,0.0,0.0
2023-06-11 13:00:00,13.4169525,18.88,0.0,0.0
2023-06-11 14:00:00,16.132413500000002,18.88,0.0,0.0
2023-06-11 15:00:00,17.3578755,18.88,0.0,0.0
2023-06-11 16:00:00,20.856654,18.88,0.004908799999969778,0.005422730039966615
2023-06-11 17:00:00,27.841359000000004,26.52,0.02466359999995948,0.025892463869957465
2023-06-11 18:00:00,29.851804500000004,30.97,0.08516749999988733,0.08209246237489141
2023-06-11 19:00:00,30.731452500000003,30.97,0.12945460000017803,0.12845747145017666
2023-06-11 20:00:00,30.68772000000001,30.97,0.10127189999978818,0.10034884439979015
2023-06-11 21:00:00,29.6568825,30.97,0.0842384000002614,0.08066672040025032
2023-06-11 22:00:00,28.4748555,26.52,0.05171399999992282,0.05552596822491712
2023-06-11 23:00:00,29.154583500000005,30.97,0.06441759999988507,0.06064153367989183
2023-06-12 00:00:00,27.998796,29.83,0.0641345000000434,0.06019741140004074
2023-06-12 01:00:00,27.991299000000005,29.83,0.055185500000119375,0.051783903150112026
2023-06-12 02:00:00,27.567718500000005,25.66,0.05285960000003361,0.05678950011003612
2023-06-12 03:00:00,27.85760250000001,29.83,0.02267080000000651,0.02117177790000609
2023-06-12 04:00:00,29.248296000000007,29.83,0.009843899999835048,0.009651937679838267
2023-06-12 05:00:00,30.79142850000001,29.83,0.0,0.0
2023-06-12 06:00:00,33.216708000000004,34.56,0.0,0.0
2023-06-12 07:00:00,32.9105805,34.56,0.0,0.0
2023-06-12 08:00:00,30.6139995,29.83,0.0,0.0
2023-06-12 09:00:00,28.609801500000003,29.83,0.0,0.0
2023-06-12 10:00:00,26.859252,25.66,0.0,0.0
2023-06-12 11:00:00,25.6934685,25.66,0.0,0.0
2023-06-12 12:00:00,24.9912495,25.66,0.0,0.0
